,CallNumber,Company,Ticker,Date,Call,1-Day,1-Week,1-Month,1-Year,1-DayIndex,1-WeekIndex,1-MonthIndex,1-YearIndex,Sector,Industry,CurrentPrice,HistoricalPrice,Time Since Recommendation,Years Since Recommendation,Total Yield,Annual Yield,Year,Performance
240,703,CrowdStrike ,CRWD,2020-09-08,Buy,-1.10%,2.30%,12.00%,107.0,0.70%,-0.30%,2%,34.0,Technology,Software - Infrastructure,345.97,125.63,1544 days,4.227241615331964,175.38804425694502,41.489950236301276,2020,73.0
241,704,NVIDIA ,NVDA,2020-09-14,Buy,-2.20%,-2.70%,7.50%,72.0,-0.30%,-2.50%,3%,34.0,Technology,Semiconductors,138.25,12.87,1538 days,4.210814510609172,974.2035742035742,231.35751331460045,2020,38.0
242,705,Skyworks Solutions ,SWKS,2018-11-13,Negative Mention,-2.40%,-1.30%,-3.10%,42.0,-1.40%,-1.90%,-4%,17.0,Technology,Semiconductors,87.59,65.01,2209 days,6.047912388774812,34.73311798184894,5.742992912118753,2018,25.0
243,708,Costco ,COST,2017-05-25,Buy,-1.30%,1.70%,-9.90%,12.0,0.10%,1.00%,1%,13.0,Consumer Defensive,Discount Stores,971.88,174.73,2746 days,7.51813826146475,456.2181651691181,60.68233242098339,2017,-1.0
244,710,Edwards Lifesciences ,EW,2022-02-01,Buy,0.90%,-0.20%,-1.90%,,0.40%,0.00%,-6%,0.0,Healthcare,Medical Devices,71.35,108.37,1033 days,2.8281998631074607,-34.16074559379903,-12.078617936239201,2022,
245,711,Norwegian Cruise Line ,NCLH,2020-11-20,Positive Mention,1.30%,9.50%,18.60%,10.0,0.10%,1.30%,3%,33.0,Consumer Cyclical,Travel Services,26.89,19.99,1471 days,4.027378507871321,34.51725862931467,8.570651743274768,2020,-23.0
246,715,Intuitive Surgical ,ISRG,2021-07-20,Buy,-4.10%,2.90%,10.50%,-29.0,0.50%,1.00%,2%,-7.0,Healthcare,Medical Instruments & Supplies,542.0,318.35,1229 days,3.3648186173853527,70.25286634207632,20.878648845763525,2021,-22.0
247,716,CrowdStrike ,CRWD,2020-05-29,Buy,4.70%,0.60%,3.40%,134.0,0.60%,5.80%,0%,40.0,Technology,Software - Infrastructure,345.97,87.81,1646 days,4.506502395619439,293.9984056485594,65.23871060943884,2020,94.0
248,720,Iron Mountain ,IRM,2020-03-24,Buy,1.20%,-11.30%,-6.10%,60.0,0.80%,-0.30%,15%,60.0,Real Estate,REIT - Specialty,123.67,122.33999633789062,1712 days,4.687200547570157,1.0871372420480068,0.23193742853857155,2020,0.0
249,722,Home Depot ,HD,2018-11-13,Buy,-0.90%,-4.80%,-4.70%,37.0,1.60%,-3.60%,-6%,16.0,Consumer Cyclical,Home Improvement Retail,429.13,179.0,2209 days,6.047912388774812,139.73743016759778,23.105068523637435,2018,21.0
250,723,Home Depot ,HD,2018-11-14,Positive Mention,-0.90%,-4.80%,-4.70%,37.0,1.60%,-3.60%,-6%,16.0,Consumer Cyclical,Home Improvement Retail,429.13,179.9,2208 days,6.04517453798768,138.53807670928293,22.91713429260217,2018,21.0
251,725,Medtronic ,MDT,2020-05-15,Positive Mention,2.10%,-1.80%,-5.30%,30.0,0.70%,1.40%,4%,43.0,Healthcare,Medical Devices,86.54,93.89,1660 days,4.544832306639288,-7.82830972414527,-1.7224639317735302,2020,-13.0
252,726,Advanced Micro Devices ,AMD,2018-09-13,Buy,4.10%,-5.20%,-19.70%,-6.0,-0.10%,0.80%,-5%,5.0,Technology,Semiconductors,137.175,30.48,2270 days,6.2149212867898695,350.0492125984252,56.32399775399771,2018,-11.0
253,729,EOG Resources ,EOG,2016-11-30,Buy,-0.90%,0.20%,-1.20%,-1.0,-0.50%,2.50%,3%,23.0,Energy,Oil & Gas E&P,133.26,102.52,2922 days,8.0,29.984393289114315,3.7480491611392894,2016,-24.0
254,730,Morgan Stanley ,MS,2020-04-16,Positive Mention,-1.20%,-2.90%,3.90%,111.0,0.40%,-1.30%,3%,47.0,Financial Services,Capital Markets,131.61,38.36,1689 days,4.6242299794661195,243.09176225234626,52.56913331123118,2020,64.0
255,731,HP ,HPQ,2020-08-27,Buy,3.00%,-3.10%,-4.10%,54.0,0.30%,-2.30%,-4%,31.0,Technology,Computer Hardware,35.43,18.7,1556 days,4.26009582477755,89.46524064171123,21.000757804874695,2020,23.0
256,732,Netflix ,NFLX,2020-03-19,Buy,-2.80%,7.30%,31.40%,57.0,-5.70%,10.80%,23%,74.0,Communication Services,Entertainment,886.81,332.03,1717 days,4.700889801505818,167.08731138752523,35.54376265829563,2020,-17.0
257,736,Danaher ,DHR,2020-07-22,Buy,-1.20%,1.50%,3.20%,47.0,-1.10%,0.30%,6%,38.0,Healthcare,Diagnostics & Research,239.69,173.39,1592 days,4.358658453114305,38.237499279081845,8.77276797216372,2020,9.0
258,737,Broadcom ,AVGO,2020-06-11,Buy,-0.80%,1.90%,4.80%,64.0,-1.30%,1.90%,4%,42.0,Technology,Semiconductors,162.08,29.38,1633 days,4.470910335386721,451.66780122532344,101.02367691215518,2020,22.0
259,741,Advanced Micro Devices ,AMD,2017-02-06,Buy,-5.40%,-0.20%,0.30%,-13.0,-0.20%,2.10%,3%,19.0,Technology,Semiconductors,137.175,13.63,2854 days,7.813826146475017,906.4196625091711,116.00202583443404,2017,-32.0
260,743,EOG Resources ,EOG,2020-04-09,Positive Mention,-6.30%,-2.40%,16.20%,67.0,-0.50%,4.00%,6%,52.0,Energy,Oil & Gas E&P,133.26,44.82,1696 days,4.643394934976044,197.32262382864792,42.49533511404107,2020,15.0
261,745,ON Semiconductor ,ON,2021-12-02,Buy,-0.60%,1.90%,9.60%,12.0,-1.30%,3.80%,6%,-11.0,Technology,Semiconductors,71.12,62.54,1094 days,2.9952087611225187,13.719219699392399,4.580388478247783,2021,23.0
262,747,Wynn Resorts ,WYNN,2020-02-11,Positive Mention,0.60%,-0.50%,-46.50%,-16.0,0.20%,0.30%,-20%,18.0,Consumer Cyclical,Resorts & Casinos,94.38,131.99,1754 days,4.802190280629706,-28.494582922948716,-5.933663861235472,2020,-34.0
263,748,AT&T ,T,2020-03-12,Negative Mention,4.70%,-17.50%,-10.90%,-7.0,2.40%,-14.50%,3%,50.0,Communication Services,Telecom Services,23.16,23.66,1724 days,4.720054757015743,-2.113271344040575,-0.44772178562112525,2020,-57.0
264,749,General Electric ,GE,2018-11-12,Negative Mention,-0.70%,-5.60%,-10.80%,49.0,0.70%,-3.80%,-7%,16.0,Industrials,Aerospace & Defense,182.16,38.24,2210 days,6.050650239561944,376.3598326359832,62.2015515250194,2018,33.0
265,750,General Electric ,GE,2018-11-15,Negative Mention,-0.70%,-5.60%,-10.80%,49.0,0.70%,-3.80%,-7%,16.0,Industrials,Aerospace & Defense,182.16,39.1,2207 days,6.0424366872005475,365.88235294117646,60.55212025906874,2018,33.0
266,751,Exxon Mobil ,XOM,2020-04-09,Sell,-3.80%,1.10%,7.00%,41.0,-0.50%,4.00%,6%,52.0,Energy,Oil & Gas Integrated,117.96,43.13,1696 days,4.643394934976044,173.49872478553206,37.3646280824974,2020,-11.0
267,753,Wynn Resorts ,WYNN,2018-01-12,Buy,-1.10%,15.70%,-3.40%,-35.0,-0.90%,2.10%,-4%,-5.0,Consumer Cyclical,Resorts & Casinos,94.38,165.54,2514 days,6.882956878850103,-42.98658934396521,-6.245366649913799,2018,-30.0
268,756,General Electric ,GE,2020-07-14,Sell,0.70%,-1.10%,-6.70%,79.0,-0.20%,1.60%,5%,37.0,Industrials,Aerospace & Defense,182.16,34.25,1600 days,4.380561259411362,431.8540145985401,98.58417427007299,2020,42.0
269,759,Kroger ,KR,2017-06-16,Sell,-1.40%,-0.10%,1.00%,17.0,0.40%,-0.60%,0%,15.0,Consumer Defensive,Grocery Stores,61.08,22.29,2724 days,7.457905544147844,174.0242261103634,23.33419551645016,2017,2.0
270,760,Micron Technology ,MU,2019-12-13,Buy,0.30%,4.60%,8.50%,35.0,0.10%,1.00%,3%,16.0,Technology,Semiconductors,97.95,51.2,1814 days,4.9664613278576315,91.30859375,18.38504072061053,2019,19.0
271,771,CrowdStrike ,CRWD,2021-12-06,Positive Mention,1.80%,-2.70%,-8.20%,-45.0,0.80%,-1.10%,0%,-15.0,Technology,Software - Infrastructure,345.97,194.71,1090 days,2.9842573579739904,77.68476195367471,26.0315222968621,2021,-30.0
272,780,JPMorgan Chase ,JPM,2019-04-11,Positive Mention,1.60%,2.10%,-1.60%,-9.0,0.10%,0.00%,-3%,-3.0,Financial Services,Banks - Diversified,249.72,106.23,2060 days,5.639972621492129,135.07483761649252,23.949555553118394,2019,-6.0
273,782,Regeneron Pharmaceuticals ,REGN,2020-03-27,Buy,2.10%,6.60%,15.80%,2.0,2.30%,1.20%,10%,54.0,Healthcare,Biotechnology,750.22,449.52,1709 days,4.678986995208761,66.8935753692828,14.296593565611786,2020,-52.0
274,785,Advanced Micro Devices ,AMD,2019-01-07,Buy,-2.10%,-1.80%,9.30%,131.0,0.00%,1.40%,5%,29.0,Technology,Semiconductors,137.175,20.57,2154 days,5.897330595482546,566.8692270296549,96.12302004298118,2019,102.0
275,786,Las Vegas Sands ,LVS,2018-01-12,Positive Mention,-0.70%,6.10%,-1.60%,-20.0,-0.90%,2.10%,-4%,-5.0,Consumer Cyclical,Resorts & Casinos,53.06,71.02,2514 days,6.882956878850103,-25.288651084201625,-3.6740969803121093,2018,-15.0
276,789,Netflix ,NFLX,2016-05-25,Buy,-0.40%,-1.50%,-17.00%,58.0,0.00%,0.70%,-4%,18.0,Communication Services,Entertainment,886.81,100.2,3111 days,8.517453798767967,785.0399201596805,92.16838021161148,2016,40.0
277,790,NVIDIA ,NVDA,2017-06-08,Buy,-9.20%,1.40%,2.70%,75.0,-0.30%,0.20%,0%,17.0,Technology,Semiconductors,138.25,4.0,2732 days,7.479808350444901,3356.25,448.7080206808199,2017,58.0
278,791,Boeing ,BA,2020-04-21,Positive Mention,-3.90%,3.00%,1.90%,74.0,0.30%,5.10%,6%,50.0,Industrials,Aerospace & Defense,155.44,136.33,1684 days,4.610540725530458,14.017457639551077,3.040306652521396,2020,24.0
279,796,Tesla ,TSLA,2020-04-09,Buy,10.30%,15.80%,24.60%,439.0,-0.50%,4.00%,6%,52.0,Consumer Cyclical,Auto Manufacturers,345.16,38.2,1696 days,4.643394934976044,803.5602094240838,173.05446137508645,2020,387.0
280,798,Lam Research ,LRCX,2018-01-24,Buy,-7.80%,-5.10%,-0.40%,-15.0,-0.30%,-0.60%,-2%,-4.0,Technology,Semiconductor Equipment & Materials,73.88,20.97,2502 days,6.850102669404517,252.31282784930855,36.83343739886489,2018,-11.0
281,806,Dow ,DOW,2020-04-21,Negative Mention,0.10%,17.70%,13.40%,103.0,0.30%,5.10%,6%,50.0,Basic Materials,Chemicals,44.21,30.88,1684 days,4.610540725530458,43.16709844559586,9.362697569628201,2020,53.0
282,811,DuPont ,DD,2020-08-11,Buy,-1.10%,-3.60%,0.40%,36.0,0.60%,-0.10%,-1%,34.0,Basic Materials,Specialty Chemicals,83.59,57.3,1572 days,4.303901437371663,45.88132635253055,10.660403594314111,2020,2.0
283,813,Amazon ,AMZN,2017-06-16,Buy,-2.10%,-0.10%,1.50%,73.0,0.40%,-0.60%,0%,15.0,Consumer Cyclical,Internet Retail,207.89,49.39,2724 days,7.457905544147844,320.91516501316056,43.03019971404438,2017,58.0
284,814,Adobe Systems ,ADBE,2017-06-20,Positive Mention,-0.60%,-0.30%,3.70%,73.0,-0.20%,0.20%,2%,15.0,Technology,Software - Infrastructure,515.93,140.91,2720 days,7.446954140999315,266.1415087644596,35.73830370449223,2017,58.0
285,820,NVIDIA ,NVDA,2017-06-12,Buy,-1.90%,3.80%,6.10%,74.0,0.20%,-0.10%,0%,16.0,Technology,Semiconductors,138.25,3.75,2728 days,7.468856947296373,3586.6666666666665,480.216275659824,2017,58.0
286,821,Advanced Micro Devices ,AMD,2018-09-12,Buy,-8.10%,2.30%,-13.80%,1.0,0.20%,0.90%,-5%,6.0,Technology,Semiconductors,137.175,32.21,2271 days,6.217659137577002,325.8770568146538,52.411534566953904,2018,-5.0
287,823,Mastercard ,MA,2018-10-30,Positive Mention,2.30%,5.30%,1.70%,41.0,0.00%,3.80%,2%,14.0,Financial Services,Credit Services,532.94,187.73,2223 days,6.0862422997946615,183.88643264262507,30.21345907454737,2018,27.0
288,824,Salesforce ,CRM,2020-11-04,Buy,0.80%,-4.20%,-12.50%,18.0,0.30%,0.80%,5%,36.0,Technology,Software - Application,329.99,250.74,1487 days,4.071184120465435,31.606444923027837,7.763452594576945,2020,-18.0
289,828,Martin Marietta Materials ,MLM,2021-03-25,Buy,-0.50%,0.80%,4.80%,17.0,1.30%,2.60%,5%,17.0,Basic Materials,Building Materials,600.0,333.23,1346 days,3.685147159479808,80.05581730336404,21.72391327641435,2021,0.0
291,833,General Motors ,GM,2021-02-05,Buy,1.60%,-6.00%,-3.30%,-11.0,0.30%,0.50%,-2%,16.0,Consumer Cyclical,Auto Manufacturers,55.59,54.41,1394 days,3.8165639972621492,2.168718985480623,0.5682386007509308,2021,-27.0
292,838,Las Vegas Sands ,LVS,2020-11-13,Positive Mention,-2.70%,-2.90%,-3.20%,-29.0,0.40%,-1.40%,1%,31.0,Consumer Cyclical,Resorts & Casinos,53.06,58.28,1478 days,4.046543463381246,-8.95676046671242,-2.2134348852954746,2020,-60.0
293,844,Raytheon Technologies ,RTX,2020-04-13,Buy,2.30%,-3.70%,-16.50%,23.0,1.00%,-3.80%,0%,47.0,Industrials,Aerospace & Defense,121.83,61.83,1692 days,4.632443531827516,97.0402717127608,20.947966455724515,2020,-24.0
294,845,NVIDIA ,NVDA,2017-06-07,Buy,4.20%,-4.70%,-3.90%,64.0,0.00%,0.00%,0%,16.0,Technology,Semiconductors,138.25,3.73,2733 days,7.482546201232033,3606.434316353888,481.9795587443313,2017,48.0
296,852,Pepsico ,PEP,2019-02-14,Buy,0.10%,0.70%,2.00%,29.0,0.40%,0.60%,2%,24.0,Consumer Defensive,Beverages - Non-Alcoholic,163.45,112.59,2116 days,5.793292265571527,45.1727506883382,7.797423057143443,2019,5.0
297,853,Adobe Systems ,ADBE,2020-09-11,Buy,0.20%,-2.10%,5.10%,33.0,0.30%,-3.00%,5%,34.0,Technology,Software - Infrastructure,515.93,471.35,1541 days,4.219028062970568,9.457939959690236,2.241734309069993,2020,-1.0
298,860,Apple ,AAPL,2021-01-22,Buy,-0.10%,-6.10%,-11.70%,14.0,0.20%,-2.10%,1%,16.0,Technology,Consumer Electronics,237.33,139.07,1408 days,3.8548939082819986,70.65506579420438,18.328666748105928,2021,-2.0
299,861,Broadcom ,AVGO,2020-04-21,Buy,2.00%,6.20%,6.40%,81.0,0.30%,5.10%,6%,50.0,Technology,Semiconductors,162.08,24.77,1684 days,4.610540725530458,554.3399273314493,120.233170105589,2020,31.0
300,863,LyondellBa-2 Industries ,LYB,2018-11-30,Positive Mention,-1.70%,-9.40%,-10.80%,23.0,-0.30%,-5.50%,-10%,14.0,Basic Materials,Specialty Chemicals,83.34,93.31,2192 days,6.0013689253935665,-10.68481406065802,-1.7803961385288967,2018,9.0
301,866,Nucor ,NUE,2018-05-31,Buy,-0.30%,1.60%,-3.90%,-22.0,0.40%,1.70%,0%,2.0,Basic Materials,Steel,154.69,64.19,2375 days,6.50239561943874,140.9876927870385,21.682423069669817,2018,-24.0
302,867,Home Depot ,HD,2020-04-27,Buy,-2.80%,3.70%,12.60%,50.0,-1.80%,0.20%,6%,48.0,Consumer Cyclical,Home Improvement Retail,429.13,217.76,1678 days,4.594113620807666,97.0655767817781,21.12824905813138,2020,2.0
303,870,TJX Companies ,TJX,2020-11-13,Positive Mention,-0.40%,1.20%,7.00%,15.0,0.40%,-1.40%,1%,31.0,Consumer Cyclical,Apparel Retail,125.69,59.63,1478 days,4.046543463381246,110.7831628374979,27.377232900132682,2020,-16.0
304,872,United Rentals ,URI,2021-06-24,Buy,-3.90%,2.10%,4.80%,-19.0,0.20%,1.70%,3%,-8.0,Industrials,Rental & Leasing Services,866.0,316.8,1255 days,3.436002737850787,173.35858585858588,50.45356452975976,2021,-11.0
305,877,CSX ,CSX,2019-10-16,Positive Mention,-1.70%,2.70%,1.80%,16.0,-0.10%,0.40%,4%,18.0,Industrials,Railroads,36.55,23.0,1872 days,5.125256673511293,58.91304347826086,11.494652313266442,2019,-2.0
306,881,Enphase Energy ,ENPH,2022-01-26,Buy,-4.20%,10.80%,39.00%,,-1.60%,3.60%,1%,0.0,Technology,Solar,71.35,121.75,1039 days,2.844626967830253,-41.39630390143738,-14.552454282964392,2022,
307,882,Ford Motor ,F,2020-07-14,Sell,3.10%,1.50%,4.50%,108.0,-0.20%,1.60%,5%,37.0,Consumer Cyclical,Auto Manufacturers,11.13,6.36,1600 days,4.380561259411362,75.0,17.12109375,2020,71.0
308,890,Mastercard ,MA,2020-05-04,Buy,-1.00%,-0.70%,10.00%,35.0,-0.20%,0.20%,9%,48.0,Financial Services,Credit Services,532.94,269.26,1671 days,4.574948665297741,97.92765356904111,21.405191781024694,2020,-13.0
309,891,Applied Materials ,AMAT,2021-04-01,Buy,-1.70%,-2.90%,-7.10%,-9.0,0.70%,1.30%,3%,14.0,Technology,Semiconductor Equipment & Materials,174.71,141.52,1339 days,3.6659822039698837,23.452515545505936,6.3973348043286355,2021,-23.0
310,892,Tesla ,TSLA,2019-06-07,Negative Mention,1.30%,5.70%,8.20%,346.0,-0.10%,0.10%,3%,14.0,Consumer Cyclical,Auto Manufacturers,345.16,13.63,2003 days,5.4839151266255985,2432.3550990462213,443.5435346613242,2019,332.0
311,899,Micron Technology ,MU,2020-02-03,Buy,0.40%,3.20%,-3.20%,43.0,0.30%,1.90%,-8%,18.0,Technology,Semiconductors,97.95,53.78,1762 days,4.824093086926762,82.13090368166604,17.025149018007106,2020,25.0
312,900,Paychex ,PAYX,2020-07-02,Positive Mention,-1.20%,-5.80%,-5.60%,44.0,0.20%,0.20%,4%,39.0,Technology,Software - Application,146.27,76.59,1612 days,4.413415468856948,90.97793445619533,20.613951960375523,2020,5.0
313,905,Gilead Sciences ,GILD,2020-04-29,Buy,-1.70%,-7.60%,-10.50%,-21.0,-0.40%,-1.00%,5%,46.0,Healthcare,Drug Manufacturers - General,92.58,93.7300033569336,1676 days,4.588637919233402,-1.2269319489451667,-0.2673847818330681,2020,-67.0
314,906,Weyerhaeuser ,WY,2016-09-21,Buy,2.90%,-0.70%,-3.00%,9.0,0.10%,-1.20%,-1%,17.0,Real Estate,REIT - Specialty,32.26,30.34,2992 days,8.191649555099247,6.328279499011201,0.7725281039484764,2016,-8.0
315,907,Nucor ,NUE,2021-03-25,Buy,5.90%,2.00%,2.20%,97.0,1.30%,2.60%,5%,17.0,Basic Materials,Steel,154.69,72.82,1346 days,3.685147159479808,112.42790442186214,30.50838936856252,2021,80.0
316,913,Advanced Micro Devices ,AMD,2018-08-23,Buy,4.70%,5.00%,36.00%,26.0,0.40%,1.00%,2%,2.0,Technology,Semiconductors,137.175,142.1999969482422,2291 days,6.272416153319644,-3.5337532039970223,-0.5633799029942874,2018,24.0
317,915,Micron Technology ,MU,2019-10-23,Positive Mention,2.60%,1.00%,0.90%,12.0,-0.20%,1.00%,4%,17.0,Technology,Semiconductors,97.95,44.66,1865 days,5.106091718001369,119.32377966860729,23.368906447162903,2019,-5.0
318,921,Norwegian Cruise Line ,NCLH,2021-04-06,Buy,-2.00%,-6.70%,-9.00%,-35.0,0.20%,1.20%,4%,12.0,Consumer Cyclical,Travel Services,26.89,31.08,1334 days,3.652292950034223,-13.481338481338474,-3.691198560951183,2021,-47.0
319,927,Zebra Technologies ,ZBRA,2021-05-04,Buy,-0.20%,-3.70%,7.10%,-28.0,-0.40%,-2.50%,2%,1.0,Technology,Communication Equipment,407.0,470.62,1306 days,3.575633127994524,-13.518337512217926,-3.7806835959705953,2021,-29.0
320,928,PayPal ,PYPL,2021-02-05,Buy,1.90%,8.00%,-19.90%,-57.0,0.30%,0.50%,-2%,16.0,Financial Services,Credit Services,86.77,269.44,1394 days,3.8165639972621492,-67.79616983372922,-17.76366645033687,2021,-73.0
321,930,Boeing ,BA,2020-09-25,Positive Mention,3.60%,3.10%,-3.20%,35.0,0.30%,1.70%,2%,34.0,Industrials,Aerospace & Defense,155.44,156.03,1527 days,4.180698151950718,-0.3781324104338931,-0.09044719247608349,2020,1.0
322,933,Tesla ,TSLA,2020-05-29,Buy,4.70%,5.80%,12.40%,247.0,0.60%,5.80%,0%,40.0,Consumer Cyclical,Auto Manufacturers,345.16,55.67,1646 days,4.506502395619439,520.0107777977366,115.39121299551842,2020,207.0
323,938,Union Pacific ,UNP,2020-04-23,Positive Mention,-0.20%,0.40%,8.80%,47.0,0.80%,-0.10%,6%,50.0,Industrials,Railroads,244.66,152.29,1682 days,4.605065023956194,60.65401536542124,13.171152861010766,2020,-3.0
324,939,Target ,TGT,2018-11-16,Buy,-2.70%,-10.20%,-16.50%,49.0,-1.40%,-0.60%,-5%,18.0,Consumer Defensive,Discount Stores,132.31,79.68,2206 days,6.039698836413415,66.05170682730923,10.936258349353897,2018,31.0
325,944,Albemarle ,ALB,2020-03-03,Negative Mention,1.40%,-18.80%,-38.50%,67.0,2.20%,-12.30%,-20%,23.0,Basic Materials,Specialty Chemicals,107.7,82.79,1733 days,4.744695414099931,30.088174900350275,6.341434438749531,2020,44.0
326,945,MGM Resorts ,MGM,2016-12-12,Buy,-0.70%,-3.90%,-3.90%,13.0,0.30%,0.00%,0%,19.0,Consumer Cyclical,Resorts & Casinos,38.34,29.19,2910 days,7.967145790554415,31.34635149023639,3.9344518494188456,2016,-6.0
327,946,Expedia ,EXPE,2018-10-11,Buy,-0.30%,-0.20%,3.10%,17.0,-0.30%,0.10%,-1%,9.0,Consumer Cyclical,Travel Services,184.62,115.69,2242 days,6.138261464750171,59.58164059123521,9.7065986734829,2018,8.0
328,951,Hasbro ,HAS,2017-06-22,Buy,-1.40%,-0.40%,-6.20%,-17.0,0.10%,-0.50%,2%,14.0,Consumer Cyclical,Leisure,65.15,110.47,2718 days,7.441478439425051,-41.02471259165384,-5.512978761626772,2017,-31.0
329,952,Estee Lauder ,EL,2021-02-05,Buy,0.10%,5.40%,0.00%,13.0,0.30%,0.50%,-2%,16.0,Consumer Defensive,Household & Personal Products,72.12,272.81,1394 days,3.8165639972621492,-73.56401891426268,-19.27493393718396,2021,-3.0
330,956,Dover ,DOV,2020-04-21,Positive Mention,-0.60%,11.60%,4.00%,74.0,0.30%,5.10%,6%,50.0,Industrials,Specialty Industrial Machinery,205.9,84.51,1684 days,4.610540725530458,143.63980594012543,31.154655059163193,2020,24.0
331,958,Home Depot ,HD,2020-05-15,Buy,-0.20%,-1.20%,-1.00%,33.0,0.70%,1.40%,4%,43.0,Consumer Cyclical,Home Improvement Retail,429.13,239.33,1660 days,4.544832306639288,79.30472569255839,17.449428348919852,2020,-10.0
332,962,Intuitive Surgical ,ISRG,2018-10-11,Buy,1.90%,-5.20%,-5.30%,-2.0,-0.30%,0.10%,-1%,9.0,Healthcare,Medical Instruments & Supplies,542.0,169.41,2242 days,6.138261464750171,219.93388820022432,35.82999672842638,2018,-11.0
333,966,Wynn Resorts ,WYNN,2021-12-01,Buy,5.30%,6.40%,6.70%,3.0,1.50%,2.00%,5%,-10.0,Consumer Cyclical,Resorts & Casinos,94.38,76.06,1095 days,2.9979466119096507,24.086247699184845,8.034248376371933,2021,13.0
334,967,The Blackstone Group ,BX,2017-04-21,Buy,-2.20%,4.20%,7.70%,15.0,0.00%,0.60%,1%,15.0,Financial Services,Asset Management,191.09,187.67999267578125,2780 days,7.611225188227242,1.8169263945515863,0.2387166782769665,2017,0.0
335,968,Broadcom ,AVGO,2018-03-09,Positive Mention,0.80%,-6.80%,-10.10%,6.0,-0.20%,-2.50%,-6%,2.0,Technology,Semiconductors,162.08,25.38,2458 days,6.729637234770705,538.6130811662728,80.03597554759199,2018,4.0
336,970,Paychex ,PAYX,2018-03-23,Buy,-3.40%,-1.50%,-2.20%,33.0,1.10%,-2.90%,1%,7.0,Technology,Software - Application,146.27,61.73,2444 days,6.691307323750856,136.95123926777907,20.46703770153695,2018,26.0
337,978,Starbucks ,SBUX,2020-04-13,Buy,0.00%,-1.30%,1.20%,59.0,1.00%,-3.80%,0%,47.0,Consumer Cyclical,Restaurants,102.46,71.76,1692 days,4.632443531827516,42.781493868450376,9.23518950085786,2020,12.0
338,984,Enphase Energy ,ENPH,2020-02-03,Positive Mention,9.20%,7.50%,53.60%,432.0,0.30%,1.90%,-8%,18.0,Technology,Solar,71.35,32.92,1762 days,4.824093086926762,116.73754556500604,24.198858409545096,2020,414.0
339,987,PayPal ,PYPL,2021-02-11,Buy,2.00%,-3.80%,-16.20%,-62.0,0.70%,-0.70%,1%,13.0,Financial Services,Credit Services,86.77,285.03,1388 days,3.800136892539357,-69.55759042907765,-18.303969671628682,2021,-75.0
340,988,Micron Technology ,MU,2018-01-24,Negative Mention,-2.80%,-1.20%,11.60%,-9.0,-0.30%,-0.60%,-2%,-4.0,Technology,Semiconductors,97.95,43.08,2502 days,6.850102669404517,127.36768802228413,18.593544384548075,2018,-5.0
341,990,Wynn Resorts ,WYNN,2016-07-25,Buy,3.50%,-6.30%,-12.10%,30.0,0.10%,-0.60%,0%,16.0,Consumer Cyclical,Resorts & Casinos,94.38,97.41,3050 days,8.350444900752908,-3.1105635971666166,-0.3725027389721662,2016,14.0
342,991,Home Depot ,HD,2019-08-19,Buy,1.70%,0.50%,5.70%,34.0,-0.60%,-1.10%,4%,19.0,Consumer Cyclical,Home Improvement Retail,429.13,207.95,1930 days,5.284052019164956,106.362106275547,20.128890837898208,2019,15.0
343,992,Boeing ,BA,2019-12-20,Negative Mention,0.20%,-3.30%,-7.20%,-35.0,-0.10%,0.00%,3%,17.0,Industrials,Aerospace & Defense,155.44,328.0,1807 days,4.947296372347707,-52.609756097560975,-10.634041734717291,2019,-52.0
344,993,Caesars Entertainment ,CZR,2020-09-21,Sell,4.00%,-6.30%,-6.90%,89.0,0.50%,0.60%,4%,34.0,Consumer Cyclical,Resorts & Casinos,38.49,54.43,1531 days,4.191649555099247,-29.285320595259964,-6.986586118496866,2020,55.0
345,994,Pfizer ,PFE,2020-07-27,Buy,1.20%,-0.60%,-2.00%,22.0,-0.40%,2.80%,8%,39.0,Healthcare,Drug Manufacturers - General,26.21,35.59,1587 days,4.344969199178645,-26.355717898286038,-6.065800858442958,2020,-17.0
346,995,Adobe Systems ,ADBE,2019-12-12,Buy,1.20%,3.00%,8.70%,53.0,0.10%,1.60%,4%,17.0,Technology,Software - Infrastructure,515.93,305.96,1815 days,4.969199178644764,68.6266178585436,13.810397891368071,2019,36.0
347,996,PPG Industries ,PPG,2018-10-09,Negative Mention,-1.60%,-1.50%,8.60%,18.0,-3.00%,0.80%,0%,7.0,Basic Materials,Specialty Chemicals,124.37,98.56,2244 days,6.143737166324435,26.187094155844154,4.2624046971577885,2018,11.0
348,997,Akamai Technologies ,AKAM,2020-11-04,Buy,0.70%,-4.40%,0.10%,4.0,0.30%,0.80%,5%,36.0,Technology,Software - Infrastructure,94.02,99.34,1487 days,4.071184120465435,-5.355345278840353,-1.3154269422302884,2020,-32.0
349,1001,Walmart ,WMT,2017-02-17,Negative Mention,0.30%,0.40%,-1.30%,35.0,0.40%,0.30%,1%,17.0,Consumer Defensive,Discount Stores,92.5,23.12,2843 days,7.783709787816564,300.0865051903114,38.55314668334901,2017,18.0
350,1002,Micron Technology ,MU,2019-06-19,Buy,-2.00%,11.50%,38.20%,49.0,-0.10%,-1.00%,1%,7.0,Technology,Semiconductors,97.95,33.94,1991 days,5.451060917180014,188.5975250441957,34.59831543063409,2019,42.0
